label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
ㅏ,0.0,0.0,0.0,-0.093819186,-0.082299314,-0.053150352,-0.15016341,-0.2595974,-0.087396495,-0.11158036,-0.4012125,-0.121690124,-0.024163643,-0.45831674,-0.15170893,-0.1039028,-0.498926,-0.07366953,-0.112332396,-0.7262754,-0.13717452,-0.123570435,-0.85349935,-0.16738331,-0.11473167,-0.9749289,-0.19065739,0.0015758447,-0.5013864,-0.08573406,-0.024274226,-0.5061439,-0.18096776,-0.05095489,-0.3443119,-0.1953122,-0.040221624,-0.303824,-0.18676256,0.083767496,-0.45187023,-0.103545845,0.04196551,-0.3876579,-0.19445725,-0.0021107653,-0.2553425,-0.175458,-0.0008724133,-0.24561994,-0.14477421,0.14777534,-0.3783653,-0.12719992,0.089634955,-0.28084964,-0.18609758,0.04970382,-0.19637899,-0.17526801,0.054539487,-0.20855857,-0.15455882
ㅏ,0.0,0.0,0.0,-0.101730555,-0.11162707,-0.04928081,-0.15740523,-0.28284886,-0.09235408,-0.14862488,-0.42757553,-0.13997634,-0.0756099,-0.49924397,-0.18413946,-0.06664192,-0.53054315,-0.054161504,-0.08423168,-0.732008,-0.118179075,-0.09847454,-0.86435395,-0.14841092,-0.09274601,-0.9810667,-0.17001863,0.029100759,-0.51092356,-0.0706516,-0.04745141,-0.55942464,-0.1678389,-0.07992817,-0.386978,-0.18082249,-0.054359943,-0.3327327,-0.16831276,0.09765912,-0.4533249,-0.09415472,-0.00044416767,-0.43991482,-0.19522761,-0.02980973,-0.289908,-0.17617874,0.0037117996,-0.26461062,-0.14063972,0.14946505,-0.37394536,-0.1219699,0.04757442,-0.3365279,-0.18783551,0.025426025,-0.24023432,-0.17523101,0.066119984,-0.23300968,-0.15134881
ㅏ,0.0,0.0,0.0,-0.09461481,-0.093110956,-0.071471415,-0.14993645,-0.27998376,-0.10680288,-0.096055456,-0.4266582,-0.1367609,-0.002425279,-0.49382538,-0.16072734,-0.09532924,-0.50660765,-0.06771477,-0.11311158,-0.7259482,-0.12601405,-0.12609726,-0.85809535,-0.14760286,-0.11832222,-0.9796143,-0.16234413,0.0055919345,-0.47686958,-0.07175672,-0.012697142,-0.5805532,-0.15587698,-0.045330502,-0.3935313,-0.15834972,-0.031975314,-0.34985143,-0.1385679,0.086300336,-0.41809928,-0.08492874,0.06504753,-0.45925823,-0.18412313,0.013126986,-0.2906922,-0.15739866,0.023553822,-0.27782068,-0.11488679,0.15920833,-0.34098315,-0.10309378,0.1318965,-0.37761214,-0.16472173,0.08110128,-0.27357972,-0.13609517,0.09156805,-0.25421593,-0.100906365
ㅑ,0.0,0.0,0.0,-0.11240854,-0.071974896,-0.04992873,-0.16696478,-0.2224315,-0.07345515,-0.12237493,-0.3254272,-0.10215643,-0.03155972,-0.35533738,-0.12889317,-0.1178225,-0.5093292,-0.021119649,-0.14744484,-0.69273514,-0.05903264,-0.1587637,-0.80545676,-0.08715893,-0.1644763,-0.9092765,-0.10752294,-0.034577772,-0.50493115,-0.039435275,0.0014600873,-0.7329394,-0.09334,0.017568806,-0.8701108,-0.13138478,0.038239587,-0.98775995,-0.15122171,0.033670254,-0.4422105,-0.06406375,0.029441522,-0.5793124,-0.15562992,-0.02412102,-0.44017568,-0.16751292,-0.04237614,-0.33538643,-0.14662184,0.08974358,-0.34086266,-0.0914234,0.06462345,-0.4648751,-0.16003811,0.01636255,-0.37371334,-0.15160504,-0.0020565828,-0.28328553,-0.1277432
ㅑ,0.0,0.0,0.0,-0.11089299,-0.076968975,-0.03997466,-0.17294924,-0.22522773,-0.062108472,-0.15535378,-0.34258792,-0.09214213,-0.06743583,-0.37396672,-0.11975601,-0.10595651,-0.50657725,-0.018184837,-0.13820192,-0.6992105,-0.055750635,-0.15375206,-0.8106245,-0.08251048,-0.16005658,-0.91555727,-0.10277015,-0.028561981,-0.50183564,-0.04135061,0.0065040747,-0.73369795,-0.100587614,0.017105041,-0.8701837,-0.13996825,0.03569087,-0.98633426,-0.16084471,0.033049796,-0.43803817,-0.069367796,0.015276246,-0.5847546,-0.15894686,-0.046869442,-0.44899777,-0.16502,-0.067650415,-0.34834564,-0.14158142,0.08123929,-0.3357641,-0.099828474,0.041254114,-0.47227365,-0.16321705,-0.010402969,-0.39254212,-0.15182987,-0.028088737,-0.3056446,-0.12753725
ㅑ,0.0,0.0,0.0,-0.102999054,-0.076335184,-0.0578812,-0.14341085,-0.23077922,-0.08274153,-0.07009413,-0.32939133,-0.11013085,0.024495823,-0.36713353,-0.1344663,-0.09902841,-0.49948642,-0.03120764,-0.11703833,-0.6831677,-0.07210074,-0.11793262,-0.80169624,-0.10173272,-0.113007136,-0.9089035,-0.123014316,-0.009895716,-0.5031355,-0.044353556,0.023800159,-0.7281158,-0.09748595,0.044921096,-0.86791664,-0.13513434,0.06758213,-0.9855876,-0.15507986,0.0629744,-0.44403487,-0.06408436,0.07422533,-0.5762107,-0.15221688,0.023481326,-0.4465391,-0.16376427,-0.00019135905,-0.3430789,-0.14467764,0.12227372,-0.34595254,-0.08775177,0.11310988,-0.45428765,-0.15794285,0.06327547,-0.36826077,-0.15221688,0.037583996,-0.28222063,-0.13007638
ㅓ,0.0,0.0,0.0,-0.0747213,-0.26678482,-0.18754922,-0.15767856,-0.49563122,-0.35411754,-0.23248103,-0.49379733,-0.5109044,-0.26325622,-0.29966465,-0.6589021,0.36905447,-0.5857195,-0.3138576,0.2565784,-0.54047173,-0.5531489,0.17645495,-0.560633,-0.70313126,0.11234179,-0.6087703,-0.78535223,0.46155223,-0.26989612,-0.32661602,-0.01775996,-0.20582488,-0.5829186,-0.22513159,-0.19384506,-0.65833503,-0.2994483,-0.21743523,-0.6708099,0.41932392,0.048085816,-0.35950437,-0.13033485,0.07960772,-0.57214475,-0.32012632,0.013071552,-0.56023693,-0.3779827,-0.07448175,-0.5080692,0.3175893,0.31686366,-0.41535798,-0.095663704,0.32439783,-0.5551336,-0.2402324,0.26555634,-0.5486126,-0.27073103,0.17970929,-0.50835264
ㅓ,0.0,0.0,0.0,-0.07879445,-0.33695805,-0.17739674,-0.1624012,-0.5752652,-0.33716354,-0.2880557,-0.64585626,-0.48795822,-0.32706395,-0.47436517,-0.62553084,0.35375983,-0.6745583,-0.33149695,0.13396308,-0.6252217,-0.5666611,0.03361764,-0.62163454,-0.7001412,-0.01697105,-0.63549536,-0.7719181,0.43176913,-0.32811236,-0.3494412,-0.13065852,-0.22640352,-0.59373486,-0.28662455,-0.22111121,-0.64725286,-0.29759574,-0.24364291,-0.6516602,0.38221535,0.019057097,-0.38564453,-0.23688173,0.053716216,-0.58397573,-0.39560845,-0.0058621,-0.5383281,-0.40958357,-0.06663029,-0.4659214,0.27114153,0.31018206,-0.4460883,-0.19411525,0.29694897,-0.5811424,-0.31303236,0.22292793,-0.55942047,-0.3083965,0.14364728,-0.50779134
ㅓ,0.0,0.0,0.0,-0.06883564,-0.29658455,-0.13933714,-0.13125594,-0.55346704,-0.26845983,-0.26114753,-0.5718857,-0.38923198,-0.33981985,-0.41133806,-0.4999283,0.28741717,-0.580267,-0.29427058,0.21188296,-0.5190155,-0.51069427,0.18920933,-0.56016225,-0.65037596,0.17544338,-0.65638447,-0.7337432,0.39628,-0.28702167,-0.3152504,-0.14085142,-0.23658837,-0.5369191,-0.2324871,-0.23346616,-0.58522797,-0.19240253,-0.2658059,-0.5890927,0.35486487,0.005575929,-0.35196516,-0.26087272,-0.0030331751,-0.5233926,-0.3378855,-0.07402896,-0.46901062,-0.29000676,-0.16533478,-0.39558113,0.2511578,0.25770706,-0.41131607,-0.20834668,0.22278094,-0.5446485,-0.26413152,0.16638981,-0.5283615,-0.20223634,0.09906298,-0.4786724
ㅓ,0.0,0.0,0.0,-0.07293248,-0.27847424,-0.16586769,-0.1434749,-0.50453264,-0.31217128,-0.21453355,-0.6158442,-0.45110294,-0.19635782,-0.5109119,-0.57784265,0.36109504,-0.58930933,-0.28495198,0.23199175,-0.5691001,-0.5086603,0.12853026,-0.6108872,-0.65269566,0.057044834,-0.6794315,-0.73151815,0.43342608,-0.29945058,-0.2982781,-0.05917343,-0.2697266,-0.52368766,-0.19215813,-0.23991917,-0.5914523,-0.1937608,-0.23878404,-0.6090314,0.3855308,-0.0032039236,-0.33031747,-0.17045508,-0.010090418,-0.5092274,-0.31143847,-0.028726103,-0.48144105,-0.32970384,-0.06167888,-0.42728606,0.28420866,0.2517753,-0.38589013,-0.13712122,0.22314428,-0.5027061,-0.25596914,0.17239243,-0.48767883,-0.26721022,0.11323223,-0.44486517
ㅕ,0.0,0.0,0.0,-0.13573188,-0.24165803,-0.105387405,-0.24930337,-0.4013191,-0.23199399,-0.35078257,-0.36081618,-0.34978846,-0.4283119,-0.24012896,-0.46542487,0.006030271,-0.5650647,-0.29385856,-0.045740314,-0.643159,-0.469741,-0.1345468,-0.67947304,-0.57764435,-0.22139663,-0.7305404,-0.6459831,0.087510385,-0.40423092,-0.32658923,-0.15248615,-0.3960099,-0.52369267,-0.2137459,-0.30969793,-0.5729685,-0.21053825,-0.27013156,-0.5844782,0.09470656,-0.20478259,-0.3656143,-0.23623858,-0.14180306,-0.52908784,-0.31844428,-0.12058039,-0.50750715,-0.3226848,-0.15416473,-0.46650392,0.04893014,-0.014901435,-0.41542965,-0.22125354,0.010824673,-0.52728945,-0.33371097,-0.0047967993,-0.5147008,-0.38406757,-0.051749162,-0.48664588
ㅕ,0.0,0.0,0.0,-0.114739574,-0.21226014,-0.08288878,-0.23870072,-0.3656024,-0.20504968,-0.37198782,-0.38465303,-0.3192453,-0.46732426,-0.35504532,-0.43438727,-0.04618941,-0.51668584,-0.29116955,-0.14826667,-0.5782431,-0.4725576,-0.2440115,-0.6280454,-0.5943242,-0.33064649,-0.6652612,-0.6694031,0.0023198219,-0.36038792,-0.33249447,-0.31890246,-0.33974895,-0.5381728,-0.4317669,-0.24009036,-0.59116966,-0.4725125,-0.16995814,-0.603157,-0.0066412697,-0.16889437,-0.37539673,-0.3457154,-0.114544034,-0.5334409,-0.37494075,-0.08954172,-0.503157,-0.32701135,-0.09980395,-0.45867747,-0.046669114,0.009584721,-0.42681628,-0.32575572,0.025365606,-0.5192453,-0.38838992,0.0013572943,-0.4867532,-0.38747048,-0.044408422,-0.4495292
ㅕ,0.0,0.0,0.0,-0.08562891,-0.22626431,-0.13954379,-0.14523527,-0.38550195,-0.2701182,-0.21939741,-0.369745,-0.39566207,-0.2522707,-0.2389181,-0.5078642,0.17631856,-0.60814416,-0.26836845,0.23728229,-0.64764965,-0.4991155,0.15403947,-0.70256764,-0.6294711,0.05092568,-0.7192337,-0.6928993,0.29402998,-0.39068654,-0.2998638,0.3044998,-0.35019758,-0.53979695,0.1958985,-0.33966017,-0.5883522,0.092995524,-0.31800377,-0.57216716,0.30622327,-0.14905292,-0.3534496,-0.002803828,-0.07447429,-0.5734795,-0.1890623,-0.08789646,-0.5450462,-0.2785211,-0.12646027,-0.4658704,0.23577373,0.059594125,-0.42409536,-0.07493,0.1047244,-0.58091587,-0.23867,0.068045534,-0.5756666,-0.31162986,-0.012140221,-0.5284236
ㅗ,0.0,0.0,0.0,0.106480256,-0.17046157,0.03946931,0.1269996,-0.34410158,0.0335842,0.07242958,-0.47328427,0.020050881,-0.009898659,-0.5210552,0.0020246995,0.12643343,-0.4619092,-0.044648826,0.1309756,-0.7277759,-0.061866418,0.12547204,-0.87580353,-0.06376327,0.124712184,-0.9899888,-0.066097856,0.03069179,-0.46893004,-0.07276116,-0.034772594,-0.6511599,-0.081272684,-0.04678513,-0.5724122,-0.05797544,-0.031939954,-0.48819876,-0.040320117,-0.07156679,-0.44161868,-0.091486506,-0.11171905,-0.54862636,-0.07626305,-0.112865455,-0.48049632,-0.03185723,-0.0964474,-0.41402534,-0.007988496,-0.16047251,-0.39556226,-0.10826636,-0.17835619,-0.48131272,-0.07353936,-0.16978966,-0.41974905,-0.024318455,-0.15720919,-0.3632129,0.007952365
ㅗ,0.0,0.0,0.0,0.08925614,-0.18536907,0.035046075,0.104552224,-0.3781713,0.022550525,0.052138425,-0.53235424,0.001333109,-0.015858455,-0.6230491,-0.021501163,0.14906445,-0.47342724,-0.050128654,0.10984053,-0.7374599,-0.07194706,0.09138665,-0.8799929,-0.073118515,0.085074015,-0.99354255,-0.07507095,0.07449224,-0.47423318,-0.08688314,-0.065338634,-0.65319014,-0.10953133,-0.098434046,-0.56228983,-0.091813035,-0.076478556,-0.48774198,-0.07658408,-0.024807261,-0.44603702,-0.1149005,-0.14128195,-0.55136794,-0.11792677,-0.15062085,-0.46216848,-0.07321615,-0.12201089,-0.40333426,-0.04637023,-0.12308466,-0.40021217,-0.14116065,-0.20299743,-0.48752344,-0.11870774,-0.20402974,-0.40769288,-0.06989701,-0.17960377,-0.35074997,-0.037022974
ㅗ,0.0,0.0,0.0,0.14629307,-0.16181448,0.0010401199,0.22149211,-0.39812967,-0.012874126,0.15381037,-0.6038361,-0.019610306,0.04829732,-0.6661986,-0.02601246,0.12036157,-0.51094836,-0.11635243,0.102413476,-0.8184424,-0.13628261,0.053985607,-0.87489754,-0.13283102,0.007544461,-0.9142907,-0.12971345,-0.0051633543,-0.51871985,-0.11791122,0.026517978,-0.8477041,-0.12169683,0.063480705,-0.94470537,-0.09792536,0.08142923,-0.9930757,-0.08467568,-0.120330945,-0.4948796,-0.108224474,-0.07936501,-0.6739244,-0.098482065,-0.040952135,-0.6205812,-0.06207329,-0.02272799,-0.527372,-0.040138952,-0.21598154,-0.44817534,-0.09820371,-0.16503641,-0.53811073,-0.08011066,-0.12795721,-0.47713727,-0.045344185,-0.1257219,-0.4097182,-0.019638142
ㅗ,0.0,0.0,0.0,0.10404896,-0.1641863,0.021725373,0.12519649,-0.3552469,0.013392424,0.051983867,-0.4833084,0.0048094885,-0.03562803,-0.5165047,-0.007475657,0.09412792,-0.45201203,-0.07185362,0.07685667,-0.72735834,-0.08480541,0.06322982,-0.8772368,-0.08018657,0.05486824,-0.9953069,-0.0797104,-0.011261599,-0.44752893,-0.08571012,-0.049294394,-0.6541866,-0.09542396,-0.030662645,-0.58255,-0.06709195,-0.0073421076,-0.49158275,-0.04540247,-0.1072163,-0.41576883,-0.09009087,-0.1107417,-0.54977787,-0.0836626,-0.09034007,-0.49487638,-0.04535485,-0.07047216,-0.42247468,-0.02365348,-0.18740556,-0.37404934,-0.09247172,-0.16728458,-0.45816052,-0.07147269,-0.14298466,-0.40625522,-0.035831485,-0.13267949,-0.3529957,-0.012594466
ㅏ,0.0,0.0,0.0,-0.08321651,-0.074484326,-0.06617182,-0.14466836,-0.20772763,-0.117048495,-0.13104679,-0.32895762,-0.16678034,-0.06102525,-0.4153869,-0.21229915,-0.102875076,-0.47841868,-0.100196466,-0.10837016,-0.6972176,-0.17603064,-0.11182971,-0.84080535,-0.21303184,-0.105840735,-0.9654047,-0.2383099,0.0020085394,-0.4892655,-0.10422629,-0.0144866835,-0.4321041,-0.20222455,-0.039078265,-0.2654723,-0.20991789,-0.046858907,-0.22946993,-0.19782838,0.08921593,-0.44528785,-0.11549151,0.0609147,-0.33099577,-0.2033236,0.02091635,-0.20959312,-0.17328301,0.009500778,-0.20561077,-0.13811354,0.16273516,-0.377774,-0.13463324,0.12798914,-0.2626582,-0.19105093,0.08405424,-0.17561823,-0.17319141,0.07318735,-0.18179949,-0.14745544
ㅛ,0.0,0.0,0.0,0.08518984,-0.18346083,0.042159434,0.087782964,-0.34955317,0.03492649,0.028166406,-0.47021842,0.01628499,-0.0416473,-0.5240244,-0.0027580112,0.09685431,-0.4640382,-0.033929285,0.09221974,-0.70454574,-0.063574865,0.09547983,-0.8453962,-0.0743767,0.09960885,-0.94900167,-0.07699389,0.011352076,-0.45985246,-0.070046455,-0.03820094,-0.72420925,-0.10154785,-0.061819077,-0.88151914,-0.11249245,-0.07977502,-0.9901166,-0.11534754,-0.08097785,-0.42518678,-0.094647996,-0.12927204,-0.5740282,-0.09678933,-0.11322371,-0.51696527,-0.055628136,-0.090979464,-0.45383772,-0.020986114,-0.16327848,-0.3626816,-0.11791716,-0.18448001,-0.49240845,-0.08670126,-0.16721588,-0.4442147,-0.02710081,-0.1535177,-0.38079005,0.020091804
ㅛ,0.0,0.0,0.0,0.11441701,-0.14657237,0.0019716925,0.14805698,-0.32442415,-0.008166697,0.08049185,-0.4483766,-0.018447798,0.005572037,-0.49053654,-0.028843064,0.07261225,-0.45127782,-0.06032931,0.11275675,-0.7096016,-0.07965369,0.1284812,-0.850046,-0.081720725,0.13890481,-0.95909685,-0.07960561,-0.0281873,-0.45501485,-0.067636035,-0.018994333,-0.72582394,-0.08325898,-0.018244034,-0.88531536,-0.08619128,-0.02981104,-0.9958325,-0.08619128,-0.11295997,-0.42129907,-0.067636035,-0.07759641,-0.55283874,-0.07350064,-0.04411282,-0.5068764,-0.058694907,-0.032136224,-0.4377461,-0.04230283,-0.17256266,-0.3736872,-0.067636035,-0.11987497,-0.466672,-0.060377378,-0.086435445,-0.42687616,-0.034515392,-0.08181605,-0.36769387,-0.010756501
ㄱ,0.0,0.0,0.0,-0.17887887,0.04321147,-0.0040594293,-0.33736858,0.21114473,-0.030066341,-0.46517998,0.34863794,-0.049332555,-0.57419986,0.41139024,-0.07229809,-0.29887044,0.32593933,-0.12662084,-0.31075475,0.6384863,-0.16346501,-0.3085308,0.8045306,-0.17409122,-0.30382192,0.93558013,-0.17995055,-0.17924613,0.37679452,-0.13168569,-0.18750271,0.6110011,-0.14737673,-0.18656752,0.534419,-0.109241545,-0.18286063,0.44067246,-0.086002916,-0.058450494,0.39867672,-0.1288057,-0.09069932,0.5800343,-0.1307919,-0.08483013,0.51453376,-0.07433395,-0.07622529,0.43034172,-0.042430483,0.046121076,0.40559846,-0.12403879,-0.0015695206,0.5302229,-0.10745396,0.006697734,0.46920764,-0.05660704,0.021261197,0.40593088,-0.023933921
ㅛ,0.0,0.0,0.0,0.08198324,-0.1771403,0.033058338,0.08794771,-0.34556857,0.022517076,0.024085043,-0.47708753,0.0020080234,-0.056966633,-0.53281915,-0.016192574,0.11353243,-0.4636653,-0.038010526,0.073183194,-0.697906,-0.06467303,0.06285921,-0.83281326,-0.072097436,0.062459003,-0.93135464,-0.07457224,0.029964244,-0.46450636,-0.07261108,-0.040939484,-0.72540677,-0.10926617,-0.07786665,-0.8773843,-0.124021605,-0.10195882,-0.9862086,-0.13037205,-0.06150356,-0.43177903,-0.09637853,-0.14609984,-0.5781777,-0.106651284,-0.14431247,-0.50407153,-0.06443955,-0.121625334,-0.43385035,-0.027737765,-0.15111423,-0.37368968,-0.11935217,-0.20626262,-0.5003334,-0.09768597,-0.20112157,-0.4430716,-0.042189676,-0.18020467,-0.3786233,0.0030075754
ㄱ,0.0,0.0,0.0,-0.17891823,0.02898745,0.003022255,-0.34565237,0.19799496,-0.01886203,-0.4656088,0.32271782,-0.037294228,-0.5811574,0.34378934,-0.05846788,-0.34996265,0.26688576,-0.12360592,-0.38219103,0.5859777,-0.16666068,-0.38897717,0.7626459,-0.18030484,-0.39873344,0.8976775,-0.18758167,-0.24260272,0.31133148,-0.14280875,-0.23542476,0.6050071,-0.17545359,-0.2105188,0.5313406,-0.1430109,-0.21135598,0.4224793,-0.12168563,-0.11988555,0.3433522,-0.15433046,-0.12857325,0.58633155,-0.17333116,-0.10367593,0.5157141,-0.11643012,-0.09676179,0.41542944,-0.08130915,-0.004909433,0.36313745,-0.16413401,-0.031047495,0.54961884,-0.15887849,-0.009374092,0.4869133,-0.108850054,-0.0004454645,0.40218967,-0.0760031
ㄱ,0.0,0.0,0.0,-0.17286162,0.06423977,0.023696048,-0.3055175,0.24407613,0.0022365553,-0.40647236,0.3880307,-0.014477045,-0.51008344,0.44305554,-0.037288833,-0.2781291,0.33591485,-0.13568358,-0.27627823,0.6436223,-0.18230054,-0.26248202,0.8130785,-0.20333149,-0.24865784,0.9447008,-0.2137985,-0.16505386,0.37478423,-0.14867042,-0.14155327,0.6134912,-0.1485735,-0.13804033,0.53817785,-0.09657766,-0.14197305,0.4472624,-0.071330845,-0.046446037,0.38287607,-0.15109335,-0.047250547,0.5727199,-0.13839725,-0.04161024,0.50393105,-0.07409297,-0.038841378,0.41741288,-0.04385494,0.059343997,0.37926587,-0.14876735,0.037904788,0.51209134,-0.114846475,0.043651376,0.44628105,-0.053934287,0.047749165,0.37770498,-0.020195134
ㅏ,0.0,0.0,0.0,-0.08582352,-0.07011697,-0.07032122,-0.15267967,-0.20900685,-0.121359974,-0.1483391,-0.3332776,-0.17043397,-0.07979593,-0.41958365,-0.21439035,-0.11162469,-0.47271702,-0.10088964,-0.11049158,-0.6967165,-0.17929834,-0.10957044,-0.83974975,-0.21512143,-0.09826448,-0.9661994,-0.23833334,-0.0072081224,-0.47447646,-0.10335705,-0.029353075,-0.45978606,-0.20945553,-0.05882853,-0.28986317,-0.21768022,-0.06653055,-0.24892753,-0.20214471,0.07820068,-0.43126044,-0.113592215,0.043512665,-0.33717334,-0.21036941,0.0046963636,-0.21090083,-0.18158299,-0.00040023826,-0.20442025,-0.14301832,0.15096009,-0.36833575,-0.13168654,0.10968336,-0.26886863,-0.19264062,0.06960155,-0.17960142,-0.17609984,0.066181876,-0.18724452,-0.15023778
ㅛ,0.0,0.0,0.0,0.11849585,-0.13958317,-0.010914721,0.15507838,-0.3323927,-0.026369927,0.08089801,-0.46435362,-0.03517506,0.0006400264,-0.50353104,-0.044373076,0.061633766,-0.4320373,-0.099283844,0.0998886,-0.6972184,-0.11823453,0.11300914,-0.83455265,-0.11740255,0.1215819,-0.94154555,-0.11453684,-0.04088907,-0.43532452,-0.096418135,-0.024070472,-0.7166567,-0.117957205,-0.020572565,-0.8790611,-0.12008338,-0.03239383,-0.9923355,-0.1192514,-0.12193822,-0.40621272,-0.083198875,-0.07767828,-0.5485186,-0.09031694,-0.032976564,-0.50774086,-0.06951741,-0.01266119,-0.435545,-0.049272526,-0.17725666,-0.36707574,-0.07034938,-0.11410902,-0.46791458,-0.06683657,-0.07776899,-0.4315644,-0.039958958,-0.072795905,-0.37356257,-0.014964851
ㅏ,0.0,0.0,0.0,-0.10769934,-0.058659304,-0.05931607,-0.21887228,-0.18067439,-0.112643436,-0.24421398,-0.31158525,-0.16796702,-0.17583174,-0.39722165,-0.2201537,-0.16664837,-0.48800322,-0.08426871,-0.18378617,-0.6950967,-0.15494414,-0.1981787,-0.8372369,-0.18707362,-0.20240223,-0.95683724,-0.20855667,-0.056482956,-0.51208127,-0.09496271,-0.114427455,-0.46941426,-0.19173145,-0.12024571,-0.28607297,-0.19962125,-0.10881958,-0.24829303,-0.18422191,0.033412647,-0.47788912,-0.11197804,-0.02602853,-0.36214936,-0.20323344,-0.04025136,-0.22711219,-0.17747279,-0.027156737,-0.22339833,-0.14154097,0.114504375,-0.41752413,-0.1356474,0.053503186,-0.2969225,-0.19144627,0.026801268,-0.19820222,-0.17262486,0.03541294,-0.20337228,-0.14534327
ㄱ,0.0,0.0,0.0,-0.14717652,0.049659707,-0.04567929,-0.29316413,0.22517914,-0.093518384,-0.4062188,0.37586012,-0.12502109,-0.5240733,0.42801547,-0.15850393,-0.22373348,0.2951701,-0.18001579,-0.2273017,0.6165762,-0.24050096,-0.21653086,0.7975864,-0.26840335,-0.19673814,0.93818533,-0.28478476,-0.088128135,0.32631806,-0.17209509,-0.12928648,0.6098386,-0.23726068,-0.15012336,0.53360033,-0.22429958,-0.14595988,0.42358708,-0.20359778,0.026812399,0.34456012,-0.15697381,-0.027647492,0.57084525,-0.20323779,-0.043783907,0.5019103,-0.15877397,-0.03619015,0.40800434,-0.11908057,0.11940084,0.36341777,-0.14140248,0.048900757,0.5356012,-0.16435446,0.041938774,0.464731,-0.1252911,0.058553513,0.3889359,-0.09090816
ㅏ,0.0,0.0,0.0,-0.11339614,-0.07052758,-0.075679176,-0.21053195,-0.18832515,-0.13853277,-0.22684957,-0.32013598,-0.20067908,-0.17179365,-0.42048517,-0.25763866,-0.15842825,-0.4903662,-0.09760483,-0.17177144,-0.69482666,-0.1727651,-0.18640642,-0.83593476,-0.20652594,-0.18817677,-0.95534235,-0.22783862,-0.050761733,-0.50984615,-0.10081117,-0.10690797,-0.47765568,-0.19822715,-0.11818228,-0.30155912,-0.20520568,-0.10601905,-0.2779859,-0.18851388,0.03458262,-0.47634473,-0.11231625,-0.02380908,-0.3651406,-0.20577149,-0.04156113,-0.2349404,-0.18012083,-0.02957853,-0.24226455,-0.14305936,0.111465454,-0.42076907,-0.13174288,0.05385245,-0.30809546,-0.19115438,0.019749075,-0.21404752,-0.17427397,0.02262499,-0.22358772,-0.14711444
ㄱ,0.0,0.0,0.0,-0.15625972,0.062208205,-0.03752919,-0.309304,0.25819665,-0.07692861,-0.4279863,0.4128987,-0.10260254,-0.5406993,0.46494332,-0.12981972,-0.23834483,0.31319553,-0.16199395,-0.24231368,0.63280344,-0.2113777,-0.23236372,0.80718535,-0.23101896,-0.21709463,0.94518244,-0.24392605,-0.10881129,0.3369439,-0.15946865,-0.13257092,0.62989956,-0.21343534,-0.15201351,0.5564508,-0.19641292,-0.15487584,0.45408142,-0.17677166,0.005520132,0.3522353,-0.14974156,-0.032585617,0.599915,-0.18032579,-0.050854936,0.53070134,-0.13056795,-0.048777666,0.43883437,-0.09236102,0.10059672,0.3631715,-0.14104328,0.045612555,0.5605051,-0.15086392,0.033284295,0.49889407,-0.1099914,0.044611204,0.4241304,-0.07791067
ㅏ,0.0,0.0,0.0,-0.12794518,-0.06157208,-0.057928428,-0.2301854,-0.17818035,-0.115294345,-0.27445376,-0.30563587,-0.1753786,-0.22561024,-0.39435065,-0.23190092,-0.17043057,-0.47241035,-0.09739094,-0.20188348,-0.68225735,-0.17490993,-0.22643799,-0.821622,-0.21071677,-0.23397565,-0.94357884,-0.23433805,-0.065032,-0.49763834,-0.11126374,-0.16425788,-0.46740702,-0.21334136,-0.16621861,-0.28561512,-0.22084019,-0.13411509,-0.24707806,-0.2054676,0.019036096,-0.46482864,-0.13076065,-0.08766784,-0.35553682,-0.22871394,-0.08524755,-0.21749665,-0.20284301,-0.04932323,-0.21566401,-0.16591136,0.09115084,-0.4035,-0.15625662,-0.0034526929,-0.29267937,-0.21821558,-0.01371424,-0.19830635,-0.20078084,0.019550389,-0.20477074,-0.17444126
